epoch,layer,head,attention_entropy
1,0,0,22.189617156982422
1,0,1,22.488731384277344
1,0,2,22.246915817260742
1,0,3,22.087669372558594
1,1,0,22.638521194458008
1,1,1,22.56920051574707
1,1,2,22.664241790771484
1,1,3,22.510177612304688
2,0,0,22.467666625976562
2,0,1,22.34654998779297
2,0,2,22.006427764892578
2,0,3,22.385547637939453
2,1,0,22.579254150390625
2,1,1,22.576486587524414
2,1,2,22.56863021850586
2,1,3,22.564729690551758
3,0,0,22.43408203125
3,0,1,22.287546157836914
3,0,2,22.282989501953125
3,0,3,22.221769332885742
3,1,0,22.63721466064453
3,1,1,22.618127822875977
3,1,2,22.49612045288086
3,1,3,22.7443904876709
4,0,0,22.446208953857422
4,0,1,22.188268661499023
4,0,2,22.256580352783203
4,0,3,22.44463348388672
4,1,0,22.563491821289062
4,1,1,22.609968185424805
4,1,2,22.712385177612305
4,1,3,22.738889694213867
5,0,0,22.408884048461914
5,0,1,22.28714370727539
5,0,2,22.330944061279297
5,0,3,22.452669143676758
5,1,0,22.50562858581543
5,1,1,22.371042251586914
5,1,2,22.503917694091797
5,1,3,22.548118591308594
